time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-03-14T08:27:16.234Z,38.5495,97.3148,10,4.7,mb,76,101,5.709,0.6,us,us6000mist,2024-03-14T08:42:03.040Z,"101 km WSW of Yanglong, China",earthquake,9.95,1.896,0.065,73,reviewed,us,us
2024-03-14T08:36:22.605Z,41.9822,82.4545,10,4.7,mb,81,90,2.57,0.72,us,us6000misv,2024-03-14T08:54:54.040Z,"49 km NW of Kuqa, China",earthquake,8.47,1.902,0.074,56,reviewed,us,us
2024-03-14T09:37:51.943Z,41.476,142.0272,62.304,4.6,mb,81,130,0.999,0.51,us,us6000misz,2024-03-14T10:32:13.040Z,"70 km ENE of Mutsu, Japan",earthquake,6.63,6.53,0.051,117,reviewed,us,us
2024-03-14T09:50:33.602Z,14.0706,41.1291,10,4.6,mb,82,58,3.03,0.55,us,us6000mit2,2024-03-16T07:49:47.040Z,"62 km WNW of Edd, Eritrea",earthquake,9.57,1.895,0.064,74,reviewed,us,us
2024-03-14T12:20:39.315Z,-14.8119,167.3153,163.127,4.8,mb,38,74,6.395,0.87,us,us6000miti,2024-03-14T12:38:52.040Z,"36 km NE of Port-Olry, Vanuatu",earthquake,10.12,6.53,0.091,38,reviewed,us,us
2024-03-14T14:22:31.563Z,41.3,142.4309,53.489,4.6,mb,17,179,0.898,0.64,us,us6000mitx,2024-03-14T16:35:28.040Z,"99 km SSW of Urakawa, Japan",earthquake,5.59,10.628,0.272,6,reviewed,us,us
2024-03-14T15:14:36.625Z,37.1035,141.1426,53.085,5.6,mww,95,120,2.42,1.01,us,us6000miuf,2024-03-15T21:29:09.405Z,"23 km ENE of Iwaki, Japan",earthquake,7.04,5.682,0.054,33,reviewed,us,us
2024-03-14T20:00:06.978Z,29.7698,-42.7936,10,5.2,mww,221,57,16.408,0.67,us,us6000mixv,2024-03-15T17:32:20.040Z,"northern Mid-Atlantic Ridge",earthquake,9.39,1.746,0.06,27,reviewed,us,us
2024-03-14T21:01:20.515Z,29.288,-42.851,10,4.8,mb,52,172,21.701,0.9,us,us6000miy5,2024-03-18T00:03:17.040Z,"northern Mid-Atlantic Ridge",earthquake,14.59,1.945,0.078,51,reviewed,us,us
2024-03-14T21:10:24.838Z,29.8022,-42.6586,10,6,mww,179,57,16.293,0.61,us,us6000miy6,2024-03-18T01:11:06.363Z,"northern Mid-Atlantic Ridge",earthquake,9.76,1.795,0.039,62,reviewed,us,us
2024-03-14T21:29:13.011Z,29.6248,-42.6161,10,5.2,mb,81,108,16.361,0.59,us,us6000miya,2024-03-18T00:30:15.040Z,"northern Mid-Atlantic Ridge",earthquake,11.37,1.858,0.044,172,reviewed,us,us
2024-03-14T21:50:13.764Z,29.6395,-42.6414,10,4.9,mb,54,128,19.097,0.41,us,us6000miyc,2024-03-18T00:40:05.040Z,"northern Mid-Atlantic Ridge",earthquake,11.32,1.862,0.054,106,reviewed,us,us
2024-03-14T21:54:21.249Z,29.5755,-42.5889,10,4.9,mb,66,178,25.096,0.44,us,us6000miyf,2024-03-18T00:48:08.040Z,"northern Mid-Atlantic Ridge",earthquake,15.38,1.96,0.065,75,reviewed,us,us
2024-03-14T22:52:29.433Z,8.5822,126.9116,55.018,4.7,mb,52,126,2,0.79,us,us6000miyl,2024-03-18T00:51:29.040Z,"67 km ENE of Hinatuan, Philippines",earthquake,10.2,7.941,0.07,62,reviewed,us,us
2024-03-14T23:31:31.274Z,8.9737,127.2591,10,4.8,mb,32,128,2.519,0.47,us,us6000miys,2024-03-18T00:57:55.040Z,"104 km E of Aras-asan, Philippines",earthquake,10.63,1.888,0.109,26,reviewed,us,us
2024-03-15T03:13:58.759Z,12.9024,-88.5129,63.674,5,mb,73,135,0.905,1.23,us,us6000mizf,2024-03-16T05:01:15.249Z,"42 km S of Puerto El Triunfo, El Salvador",earthquake,6.79,6.367,0.024,553,reviewed,us,us
2024-03-15T06:31:02.214Z,40.4019,143.7542,28.161,4.7,mb,81,174,1.673,0.56,us,us6000mizz,2024-03-15T06:47:32.040Z,"167 km E of Noda, Japan",earthquake,8.51,5.765,0.069,64,reviewed,us,us
2024-03-15T07:18:56.713Z,-25.3541,179.6927,509.54,4.7,mb,46,74,4.415,0.84,us,us6000mj01,2024-03-15T07:34:02.040Z,"south of the Fiji Islands",earthquake,8.36,8.433,0.054,105,reviewed,us,us
2024-03-15T10:32:48.764Z,28.4219,130.13,10,5.6,mww,119,66,2.283,0.8,us,us6000mj1l,2024-03-16T10:39:33.990Z,"52 km E of Tatsugō, Japan",earthquake,5.7,1.761,0.051,37,reviewed,us,us
2024-03-15T11:03:59.969Z,28.4959,130.131,10,5.2,mb,69,112,2.335,0.73,us,us6000mj1p,2024-03-15T11:21:46.040Z,"52 km E of Tatsugō, Japan",earthquake,5.07,1.735,0.032,330,reviewed,us,us
2024-03-15T12:44:06.376Z,-20.2983,-177.8307,507.023,4.7,mb,67,70,2.607,0.61,us,us6000mj1w,2024-03-15T19:07:21.040Z,"280 km WNW of Houma, Tonga",earthquake,12.4,8.424,0.042,174,reviewed,us,us
2024-03-15T15:03:11.496Z,-42.3353,-82.1704,10,4.8,mb,19,177,6.873,0.9,us,us6000mj2b,2024-03-15T15:23:46.040Z,"West Chile Rise",earthquake,11.51,1.944,0.116,23,reviewed,us,us
2024-03-15T19:49:10.666Z,42.034,84.0126,16.598,4.6,mb,151,55,3.58,0.69,us,us6000mj59,2024-03-15T21:39:56.040Z,"96 km ENE of Kuqa, China",earthquake,7.23,4.179,0.049,129,reviewed,us,us
2024-03-15T20:17:46.911Z,35.458,-3.5294,10.337,4.5,mww,89,63,2.392,0.65,us,us6000mj5v,2024-03-16T01:36:02.536Z,"43 km ENE of Al Hoceïma, Morocco",earthquake,7.06,4.76,0.089,12,reviewed,us,us
2024-03-15T23:52:10.124Z,3.2474,126.8001,32.576,4.7,mb,64,107,2.523,0.56,us,us6000mj6x,2024-03-18T20:26:14.040Z,"215 km NW of Tobelo, Indonesia",earthquake,8.17,5.521,0.063,77,reviewed,us,us
2024-03-16T00:14:52.156Z,-58.9182,158.3605,10,5.9,mww,58,55,4.443,0.51,us,us6000mj77,2024-03-17T19:46:20.040Z,"Macquarie Island region",earthquake,10.98,1.829,0.071,19,reviewed,us,us
2024-03-16T00:38:47.098Z,2.3683,128.7014,50.546,4.7,mb,56,113,2.072,0.77,us,us6000mj7c,2024-03-16T00:56:47.040Z,"104 km NE of Tobelo, Indonesia",earthquake,8.1,8.02,0.062,78,reviewed,us,us
2024-03-16T03:32:04.028Z,-5.2228,150.8459,10,5.2,mww,48,92,9.95,0.92,us,us6000mj83,2024-03-17T08:26:40.040Z,"86 km ENE of Kimbe, Papua New Guinea",earthquake,11.64,1.877,0.089,12,reviewed,us,us
2024-03-16T07:09:30.353Z,14.0523,41.2038,9.983,4.5,mb,50,142,2.975,0.5,us,us6000mj8r,2024-03-16T07:28:46.040Z,"54 km WNW of Edd, Eritrea",earthquake,13.89,5.595,0.084,42,reviewed,us,us
2024-03-16T07:24:30.173Z,-0.0206,68.3572,10,4.7,mb,37,56,4.665,0.81,us,us6000mj8s,2024-03-16T07:43:45.040Z,"Carlsberg Ridge",earthquake,4.28,1.886,0.114,23,reviewed,us,us
