time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-09T08:16:35.669Z,22.0287,121.6809,10,4.6,mb,40,114,0.962,0.57,us,us6000kr2t,2023-09-16T19:16:06.040Z,"96 km E of Hengchun, Taiwan",earthquake,7.33,1.898,0.109,31,reviewed,us,us
2023-07-09T22:11:32.549Z,24.0184,121.5484,23.068,4.6,mwr,164,48,0.16,0.52,us,us6000kr7w,2023-09-16T19:16:07.040Z,"7 km NW of Hualien City, Taiwan",earthquake,4.19,1.896,0.058,29,reviewed,us,us
2023-08-04T12:22:12.825Z,21.9278,121.7038,10,4.9,mb,76,112,1.057,0.88,us,us6000kxsl,2023-10-07T21:38:57.040Z,"99 km E of Hengchun, Taiwan",earthquake,4.55,1.587,0.053,112,reviewed,us,us
2023-08-04T12:25:19.299Z,22.0076,121.5985,10,4.8,mb,62,114,0.938,0.45,us,us6000kxsm,2023-10-07T21:38:57.040Z,Taiwan region,earthquake,6.96,1.875,0.06,87,reviewed,us,us
2023-08-15T17:09:17.711Z,24.1481,121.6459,31.363,4.6,mb,87,63,0.575,0.99,us,us7000kqg7,2024-01-18T20:43:00.217Z,"19 km NNE of Hualien City, Taiwan",earthquake,2.93,4.477,0.07,67,reviewed,us,us
2023-09-04T07:50:58.822Z,24.75,122.4667,36.935,4.6,mb,32,59,0.57,0.62,us,us7000ku8m,2023-11-17T19:47:51.040Z,"62 km WNW of Yonakuni, Japan",earthquake,3.55,8.418,0.136,18,reviewed,us,us
2023-09-04T13:56:55.096Z,22.2841,119.8579,11.54,4.6,mb,37,191,1.237,0.86,us,us7000ku98,2023-11-17T19:47:51.040Z,"59 km SW of Kaohsiung, Taiwan",earthquake,8.49,4.633,0.125,19,reviewed,us,us
2023-09-05T03:13:50.138Z,22.2503,120.9688,10,4.5,mb,51,81,1.091,0.82,us,us7000ktb9,2023-11-17T19:47:49.040Z,"35 km NE of Hengchun, Taiwan",earthquake,3.19,1.856,0.108,27,reviewed,us,us
2023-09-05T09:30:40.715Z,23.5353,120.3047,11.597,4.9,mww,111,55,0.379,0.49,us,us7000ktd3,2023-11-17T19:47:49.040Z,"15 km WNW of Pizitou, Taiwan",earthquake,5.12,4.102,0.086,13,reviewed,us,us
2023-10-11T10:36:56.840Z,23.2664,121.3166,16.025,5.2,mww,93,88,0.127,0.67,us,us6000leqs,2023-12-16T22:13:07.040Z,"78 km SE of Lugu, Taiwan",earthquake,3.81,3.571,0.098,10,reviewed,us,us
2023-10-12T12:16:29.169Z,22.8103,120.5315,17.13,4.7,mb,49,70,0.496,0.72,us,us6000lf26,2023-12-16T22:13:07.040Z,"31 km NE of Kaohsiung, Taiwan",earthquake,5.04,2.689,0.089,38,reviewed,us,us
2023-10-14T07:53:30.155Z,23.9848,122.2738,20.448,4.9,mww,94,71,0.649,0.58,us,us6000lfi5,2023-12-16T22:13:09.040Z,"68 km E of Hualien City, Taiwan",earthquake,4.76,4.59,0.083,14,reviewed,us,us
2023-10-14T07:56:03.884Z,24.0161,122.2878,31.568,4.5,mb,48,70,0.653,0.73,us,us6000lgm6,2023-12-16T22:13:10.040Z,"69 km E of Hualien City, Taiwan",earthquake,3.43,5.866,0.103,28,reviewed,us,us
2023-10-14T14:04:04.643Z,23.9616,122.3314,10,4.9,mb,56,81,0.706,0.91,us,us6000lfk1,2023-12-16T22:13:09.040Z,"74 km E of Hualien City, Taiwan",earthquake,4.21,1.873,0.058,94,reviewed,us,us
2023-10-23T23:05:24.760Z,24.0413,122.6384,31,5.9,mww,240,35,0.544,0.6,us,us7000l5vd,2024-01-04T04:22:01.040Z,"59 km SW of Yonakuni, Japan",earthquake,4.87,1.771,0.052,35,reviewed,us,us
2023-10-24T02:54:26.521Z,24.0644,122.5951,38.537,4.6,mwr,76,79,0.552,0.74,us,us7000l5wg,2024-01-04T04:22:03.040Z,"60 km SW of Yonakuni, Japan",earthquake,2.74,5.62,0.06,27,reviewed,us,us
2023-11-10T16:54:39.641Z,23.403,121.5996,34.076,4.9,mww,108,81,0.278,0.81,us,us7000la59,2024-01-13T23:11:19.040Z,"63 km S of Hualien City, Taiwan",earthquake,3.17,4.03,0.083,14,reviewed,us,us
2023-11-26T04:11:43.485Z,23.9905,122.4639,24.215,4.5,mwr,83,72,0.689,1.13,us,us6000lqt5,2024-02-06T21:53:52.040Z,"75 km SW of Yonakuni, Japan",earthquake,3.79,4.641,0.068,21,reviewed,us,us
2023-11-26T04:31:10.367Z,24.0191,122.4844,25.584,4.9,mww,86,80,0.656,1.21,us,us6000lqt8,2024-02-06T21:53:52.040Z,"72 km SW of Yonakuni, Japan",earthquake,4.71,3.836,0.089,12,reviewed,us,us
2023-12-09T06:19:24.991Z,24.5302,122.6415,96.18,4.5,mwr,54,64,0.343,0.58,us,us7000lhp6,2024-02-10T23:47:45.040Z,"37 km W of Yonakuni, Japan",earthquake,4.86,4.273,0.058,29,reviewed,us,us
2023-12-22T02:02:09.290Z,24.7008,122.141,10,4.5,mb,31,68,0.645,0.6,us,us6000m1mp,2024-02-27T22:56:57.040Z,"39 km E of Yilan, Taiwan",earthquake,4.01,1.891,0.128,19,reviewed,us,us
2023-12-23T02:32:33.655Z,24.2214,122.1953,54.234,4.5,mb,38,75,0.55,0.39,us,us6000m1nt,2024-02-27T22:56:57.040Z,"65 km ENE of Hualien City, Taiwan",earthquake,3.45,5.532,0.116,22,reviewed,us,us
2023-12-24T13:22:12.359Z,24.9169,122.7385,19.226,4.7,mwr,31,80,0.512,0.79,us,us7000ll8w,2024-03-02T21:39:39.040Z,"56 km NNW of Yonakuni, Japan",earthquake,2.49,4.792,0.073,18,reviewed,us,us
2023-12-24T13:27:24.119Z,24.9571,122.6719,10,4.5,mb,22,88,0.577,0.5,us,us6000m1qk,2024-03-02T21:39:35.040Z,"63 km NNW of Yonakuni, Japan",earthquake,4.75,1.724,0.163,11,reviewed,us,us
